material,category,item_type,locality,unit,quantity,quality,days_index,date,base_reference_price,price,city,synthetic
Plastic Can (25 Litre),Plastic,can,Durgapura,kg,68.5,mixed,48,2026-04-22,15.0,13.99,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Durgapura,kg,15.5,damaged,32,2026-04-06,15.0,10.27,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Shyam Nagar,kg,106.0,clean,102,2026-06-15,15.0,14.02,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Tonk Road,kg,74.7,damaged,102,2026-06-15,15.0,9.83,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Ramnagariya,kg,22.6,clean,25,2026-03-30,15.0,13.76,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Sodala,kg,100.6,dirty,30,2026-04-04,15.0,11.86,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Barkat Nagar,kg,25.0,mixed,40,2026-04-14,15.0,14.77,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Tonk Road,kg,114.7,mixed,6,2026-03-11,15.0,14.49,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Chandpole,kg,75.8,mixed,176,2026-08-28,15.0,16.48,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Airport Area,kg,115.7,mixed,147,2026-07-30,15.0,15.13,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Gopalpura,kg,48.7,clean,171,2026-08-23,15.0,15.59,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Hasanpura,kg,62.9,mixed,11,2026-03-16,15.0,15.29,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Mansarovar,kg,64.4,dirty,152,2026-08-04,15.0,13.92,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Civil Lines,kg,16.4,mixed,155,2026-08-07,15.0,15.63,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Civil Lines,kg,59.7,clean,154,2026-08-06,15.0,17.06,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Vaishali Nagar,kg,92.9,mixed,44,2026-04-18,15.0,14.53,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Ramnagariya,kg,38.8,damaged,66,2026-05-10,15.0,8.78,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Shyam Nagar,kg,113.0,mixed,174,2026-08-26,15.0,15.23,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Mahesh Nagar,kg,32.4,clean,86,2026-05-30,15.0,13.63,Jaipur,true
Plastic Can (25 Litre),Plastic,can,Civil Lines,kg,80.5,mixed,96,2026-06-09,15.0,13.52,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Adarsh Nagar,kg,25.1,dirty,150,2026-08-02,14.0,10.5,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Nirman Nagar,kg,118.4,clean,89,2026-06-02,14.0,12.64,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Chandpole,kg,49.1,mixed,166,2026-08-18,14.0,14.72,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Gopalpura,kg,35.6,mixed,67,2026-05-11,14.0,11.13,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Hasanpura,kg,42.0,clean,174,2026-08-26,14.0,15.78,Jaipur,true
Plastic Can (50 Litre),Plastic,can,MI Road,kg,106.9,mixed,78,2026-05-22,14.0,11.23,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Mahesh Nagar,kg,40.9,mixed,170,2026-08-22,14.0,15.46,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Malviya Nagar,kg,61.5,mixed,58,2026-05-02,14.0,11.76,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Hasanpura,kg,63.2,mixed,162,2026-08-14,14.0,16.0,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Adarsh Nagar,kg,72.0,mixed,126,2026-07-09,14.0,12.04,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Shyam Nagar,kg,13.6,clean,21,2026-03-26,14.0,13.02,Jaipur,true
Plastic Can (50 Litre),Plastic,can,C-Scheme,kg,41.3,mixed,176,2026-08-28,14.0,14.32,Jaipur,true
Plastic Can (50 Litre),Plastic,can,MI Road,kg,86.3,clean,104,2026-06-17,14.0,12.85,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Chandpole,kg,18.9,clean,136,2026-07-19,14.0,13.61,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Chandpole,kg,107.4,mixed,112,2026-06-25,14.0,13.39,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Ramnagariya,kg,90.9,mixed,127,2026-07-10,14.0,12.03,Jaipur,true
Plastic Can (50 Litre),Plastic,can,MI Road,kg,116.3,damaged,46,2026-04-20,14.0,9.14,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Patrakar Colony,kg,30.6,dirty,119,2026-07-02,14.0,10.12,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Model Town,kg,19.3,mixed,170,2026-08-22,14.0,14.66,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Ramnagariya,kg,41.4,mixed,105,2026-06-18,14.0,11.57,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Model Town,kg,23.1,clean,65,2026-05-09,14.0,12.66,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Gopalpura,kg,70.4,dirty,5,2026-03-10,14.0,11.74,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Civil Lines,kg,60.6,dirty,64,2026-05-08,14.0,10.83,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Adarsh Nagar,kg,82.8,clean,88,2026-06-01,14.0,11.58,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Tonk Road,kg,96.1,mixed,158,2026-08-10,14.0,14.08,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Gopalpura,kg,16.6,damaged,37,2026-04-11,14.0,9.34,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Vaishali Nagar,kg,64.0,clean,124,2026-07-07,14.0,14.45,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Raja Park,kg,40.1,dirty,91,2026-06-04,14.0,9.7,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Ramnagariya,kg,37.4,mixed,40,2026-04-14,14.0,12.17,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Model Town,kg,6.7,mixed,105,2026-06-18,14.0,12.53,Jaipur,true
Plastic Can (50 Litre),Plastic,can,C-Scheme,kg,46.3,clean,28,2026-04-02,14.0,13.43,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Ramnagariya,kg,88.0,mixed,39,2026-04-13,14.0,13.1,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Malviya Nagar,kg,10.6,mixed,146,2026-07-29,14.0,12.22,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Nirman Nagar,kg,111.9,clean,115,2026-06-28,14.0,14.32,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Chandpole,kg,29.6,mixed,144,2026-07-27,14.0,13.34,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Gopalpura,kg,73.7,mixed,117,2026-06-30,14.0,12.85,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Vaishali Nagar,kg,57.2,damaged,164,2026-08-16,14.0,12.06,Jaipur,true
Plastic Can (50 Litre),Plastic,can,C-Scheme,kg,116.3,dirty,148,2026-07-31,14.0,11.47,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Barkat Nagar,kg,62.6,mixed,133,2026-07-16,14.0,13.87,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Ramnagariya,kg,109.9,mixed,50,2026-04-24,14.0,12.39,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Hasanpura,kg,93.6,dirty,117,2026-06-30,14.0,12.09,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Patrakar Colony,kg,70.4,clean,57,2026-05-01,14.0,12.42,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Shyam Nagar,kg,74.8,clean,111,2026-06-24,14.0,12.97,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Mansarovar,kg,38.4,mixed,124,2026-07-07,14.0,13.36,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Airport Area,kg,19.4,mixed,81,2026-05-25,14.0,11.94,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Ramnagariya,kg,103.7,mixed,90,2026-06-03,14.0,11.1,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Chandpole,kg,89.7,dirty,95,2026-06-08,14.0,10.48,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Nirman Nagar,kg,97.3,mixed,59,2026-05-03,14.0,12.61,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Ramnagariya,kg,22.8,mixed,88,2026-06-01,14.0,10.61,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Shyam Nagar,kg,90.7,dirty,2,2026-03-07,14.0,11.83,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Patrakar Colony,kg,44.6,mixed,54,2026-04-28,14.0,11.72,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Hasanpura,kg,12.6,clean,59,2026-05-03,14.0,13.28,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Airport Area,kg,90.6,mixed,170,2026-08-22,14.0,15.33,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Shyam Nagar,kg,35.0,dirty,84,2026-05-28,14.0,9.66,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Vaishali Nagar,kg,64.2,mixed,91,2026-06-04,14.0,12.58,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Malviya Nagar,kg,26.0,damaged,159,2026-08-11,14.0,10.09,Jaipur,true
Plastic Can (50 Litre),Plastic,can,C-Scheme,kg,88.3,dirty,32,2026-04-06,14.0,11.24,Jaipur,true
Plastic Can (50 Litre),Plastic,can,MI Road,kg,25.1,dirty,56,2026-04-30,14.0,9.85,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Vaishali Nagar,kg,41.7,mixed,42,2026-04-16,14.0,13.75,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Raja Park,kg,95.5,mixed,142,2026-07-25,14.0,13.69,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Gopalpura,kg,32.0,damaged,44,2026-04-18,14.0,8.83,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Chandpole,kg,14.7,mixed,64,2026-05-08,14.0,12.32,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Airport Area,kg,109.5,mixed,16,2026-03-21,14.0,13.65,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Sodala,kg,42.0,damaged,57,2026-05-01,14.0,8.95,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Airport Area,kg,80.7,damaged,46,2026-04-20,14.0,9.78,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Hasanpura,kg,22.7,clean,32,2026-04-06,14.0,14.22,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Nirman Nagar,kg,65.9,damaged,166,2026-08-18,14.0,11.34,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Sodala,kg,77.9,dirty,96,2026-06-09,14.0,10.29,Jaipur,true
Plastic Can (50 Litre),Plastic,can,MI Road,kg,91.4,clean,139,2026-07-22,14.0,13.48,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Raja Park,kg,55.4,mixed,88,2026-06-01,14.0,11.87,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Gopalpura,kg,91.5,clean,70,2026-05-14,14.0,12.17,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Nirman Nagar,kg,79.3,mixed,100,2026-06-13,14.0,12.84,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Vaishali Nagar,kg,61.9,mixed,121,2026-07-04,14.0,13.94,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Sodala,kg,56.3,clean,55,2026-04-29,14.0,13.4,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Raja Park,kg,66.3,damaged,35,2026-04-09,14.0,10.36,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Civil Lines,kg,75.9,dirty,88,2026-06-01,14.0,10.31,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Barkat Nagar,kg,30.4,mixed,48,2026-04-22,14.0,13.22,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Chandpole,kg,15.1,mixed,162,2026-08-14,14.0,14.92,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Ramnagariya,kg,46.5,mixed,97,2026-06-10,14.0,10.89,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Ramnagariya,kg,34.5,mixed,93,2026-06-06,14.0,10.61,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Model Town,kg,35.9,dirty,128,2026-07-11,14.0,10.86,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Shyam Nagar,kg,50.4,clean,69,2026-05-13,14.0,12.23,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Barkat Nagar,kg,77.5,mixed,159,2026-08-11,14.0,15.78,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Airport Area,kg,105.1,dirty,46,2026-04-20,14.0,11.08,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Gopalpura,kg,50.6,clean,72,2026-05-16,14.0,12.09,Jaipur,true
Plastic Can (50 Litre),Plastic,can,C-Scheme,kg,10.7,mixed,166,2026-08-18,14.0,14.25,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Hasanpura,kg,89.8,mixed,173,2026-08-25,14.0,15.69,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Shyam Nagar,kg,4.8,damaged,34,2026-04-08,14.0,9.44,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Civil Lines,kg,40.3,clean,160,2026-08-12,14.0,15.8,Jaipur,true
Plastic Can (50 Litre),Plastic,can,Barkat Nagar,kg,65.2,mixed,127,2026-07-10,14.0,13.62,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Vaishali Nagar,kg,5.8,clean,159,2026-08-11,10.0,11.46,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mahesh Nagar,kg,28.9,clean,162,2026-08-14,10.0,11.57,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,C-Scheme,kg,44.5,mixed,96,2026-06-09,10.0,8.44,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Hasanpura,kg,55.7,dirty,104,2026-06-17,10.0,8.31,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Ramnagariya,kg,37.7,mixed,161,2026-08-13,10.0,9.72,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mahesh Nagar,kg,76.4,clean,139,2026-07-22,10.0,10.8,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Ramnagariya,kg,110.2,mixed,121,2026-07-04,10.0,8.73,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Model Town,kg,72.3,clean,144,2026-07-27,10.0,10.2,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Shyam Nagar,kg,92.2,clean,127,2026-07-10,10.0,9.35,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Raja Park,kg,9.1,mixed,173,2026-08-25,10.0,10.18,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Tonk Road,kg,77.3,mixed,123,2026-07-06,10.0,8.61,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Barkat Nagar,kg,69.5,mixed,85,2026-05-29,10.0,9.19,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Nirman Nagar,kg,104.9,dirty,43,2026-04-17,10.0,8.13,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Sodala,kg,40.2,mixed,117,2026-06-30,10.0,9.04,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Hasanpura,kg,12.4,mixed,36,2026-04-10,10.0,9.65,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Nirman Nagar,kg,18.2,dirty,19,2026-03-24,10.0,8.04,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Shyam Nagar,kg,118.3,mixed,16,2026-03-21,10.0,9.27,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,C-Scheme,kg,24.7,mixed,179,2026-08-31,10.0,9.89,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Barkat Nagar,kg,29.0,mixed,40,2026-04-14,10.0,9.84,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Durgapura,kg,109.8,dirty,149,2026-08-01,10.0,8.36,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,C-Scheme,kg,88.9,mixed,146,2026-07-29,10.0,9.67,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Hasanpura,kg,72.6,mixed,109,2026-06-22,10.0,9.77,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Malviya Nagar,kg,72.0,mixed,69,2026-05-13,10.0,8.06,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Vaishali Nagar,kg,37.8,clean,94,2026-06-07,10.0,9.08,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,C-Scheme,kg,113.0,clean,28,2026-04-02,10.0,9.98,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,C-Scheme,kg,39.6,clean,157,2026-08-09,10.0,10.6,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Barkat Nagar,kg,109.3,dirty,29,2026-04-03,10.0,8.64,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Vaishali Nagar,kg,33.9,mixed,56,2026-04-30,10.0,9.27,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mahesh Nagar,kg,83.1,clean,172,2026-08-24,10.0,11.82,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Chandpole,kg,104.3,mixed,63,2026-05-07,10.0,9.19,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Sodala,kg,113.7,clean,143,2026-07-26,10.0,9.96,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Vaishali Nagar,kg,41.4,mixed,43,2026-04-17,10.0,9.62,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Tonk Road,kg,14.4,mixed,177,2026-08-29,10.0,9.75,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Patrakar Colony,kg,98.7,damaged,132,2026-07-15,10.0,6.76,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mahesh Nagar,kg,66.5,dirty,104,2026-06-17,10.0,8.34,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Chandpole,kg,97.8,mixed,18,2026-03-23,10.0,10.05,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,C-Scheme,kg,89.0,dirty,28,2026-04-02,10.0,8.08,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Patrakar Colony,kg,109.4,clean,41,2026-04-15,10.0,9.26,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Durgapura,kg,49.5,damaged,137,2026-07-20,10.0,6.91,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mahesh Nagar,kg,104.5,dirty,88,2026-06-01,10.0,7.65,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Hasanpura,kg,79.3,damaged,105,2026-06-18,10.0,7.34,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Nirman Nagar,kg,105.5,dirty,68,2026-05-12,10.0,7.6,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Civil Lines,kg,63.2,dirty,170,2026-08-22,10.0,9.39,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Gopalpura,kg,12.4,mixed,30,2026-04-04,10.0,8.73,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Ramnagariya,kg,10.8,clean,13,2026-03-18,10.0,9.06,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,C-Scheme,kg,61.4,clean,117,2026-06-30,10.0,10.02,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Chandpole,kg,16.4,dirty,138,2026-07-21,10.0,8.18,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Model Town,kg,62.9,clean,176,2026-08-28,10.0,11.31,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Sodala,kg,43.5,clean,141,2026-07-24,10.0,9.67,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Vaishali Nagar,kg,74.1,mixed,5,2026-03-10,10.0,10.93,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Patrakar Colony,kg,4.6,clean,118,2026-07-01,10.0,8.8,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Airport Area,kg,1.3,mixed,27,2026-04-01,10.0,9.44,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mahesh Nagar,kg,48.5,mixed,103,2026-06-16,10.0,9.48,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Airport Area,kg,66.7,mixed,147,2026-07-30,10.0,10.08,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Nirman Nagar,kg,93.9,mixed,100,2026-06-13,10.0,9.17,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Barkat Nagar,kg,53.3,dirty,178,2026-08-30,10.0,9.41,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Nirman Nagar,kg,114.7,clean,166,2026-08-18,10.0,11.34,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Patrakar Colony,kg,96.3,mixed,127,2026-07-10,10.0,8.64,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Adarsh Nagar,kg,107.7,damaged,113,2026-06-26,10.0,6.61,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Chandpole,kg,78.4,clean,98,2026-06-11,10.0,9.69,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mansarovar,kg,1.1,mixed,59,2026-05-03,10.0,9.13,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Barkat Nagar,kg,106.8,dirty,100,2026-06-13,10.0,8.09,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Civil Lines,kg,16.2,dirty,28,2026-04-02,10.0,7.98,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Ramnagariya,kg,87.0,mixed,97,2026-06-10,10.0,8.09,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Chandpole,kg,94.8,damaged,44,2026-04-18,10.0,7.04,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Barkat Nagar,kg,33.5,mixed,50,2026-04-24,10.0,9.63,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mahesh Nagar,kg,79.5,mixed,55,2026-04-29,10.0,9.88,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mansarovar,kg,19.4,mixed,39,2026-04-13,10.0,10.36,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Ramnagariya,kg,64.6,mixed,102,2026-06-15,10.0,8.59,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Ramnagariya,kg,22.3,dirty,102,2026-06-15,10.0,7.02,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Sodala,kg,97.2,dirty,173,2026-08-25,10.0,8.82,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Sodala,kg,34.6,clean,124,2026-07-07,10.0,9.17,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,MI Road,kg,81.2,mixed,67,2026-05-11,10.0,8.18,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Adarsh Nagar,kg,90.0,mixed,159,2026-08-11,10.0,9.95,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Airport Area,kg,33.0,mixed,155,2026-08-07,10.0,10.33,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Civil Lines,kg,110.7,mixed,1,2026-03-06,10.0,10.47,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Vaishali Nagar,kg,94.1,mixed,29,2026-04-03,10.0,10.24,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Airport Area,kg,76.0,dirty,156,2026-08-08,10.0,9.3,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,MI Road,kg,1.2,dirty,45,2026-04-19,10.0,7.16,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Vaishali Nagar,kg,110.8,clean,100,2026-06-13,10.0,10.07,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Durgapura,kg,10.8,damaged,35,2026-04-09,10.0,7.11,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Hasanpura,kg,64.2,mixed,84,2026-05-28,10.0,9.28,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Hasanpura,kg,63.5,mixed,41,2026-04-15,10.0,9.99,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Nirman Nagar,kg,3.2,mixed,149,2026-08-01,10.0,9.59,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mahesh Nagar,kg,11.5,mixed,63,2026-05-07,10.0,9.13,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Malviya Nagar,kg,113.5,damaged,61,2026-05-05,10.0,6.29,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Mansarovar,kg,45.5,dirty,72,2026-05-16,10.0,7.52,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Hasanpura,kg,75.2,mixed,94,2026-06-07,10.0,8.98,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Durgapura,kg,62.7,mixed,165,2026-08-17,10.0,10.71,Jaipur,true
Plastic Drum (200 Litre),Plastic,drum,Airport Area,kg,60.4,dirty,65,2026-05-09,10.0,7.66,Jaipur,true
PVC Pipe,Plastic,pipe,Airport Area,kg,75.6,clean,65,2026-05-09,10.0,9.46,Jaipur,true
PVC Pipe,Plastic,pipe,Barkat Nagar,kg,68.4,mixed,145,2026-07-28,10.0,10.18,Jaipur,true
PVC Pipe,Plastic,pipe,Durgapura,kg,9.8,dirty,176,2026-08-28,10.0,8.74,Jaipur,true
PVC Pipe,Plastic,pipe,Chandpole,kg,32.7,clean,33,2026-04-07,10.0,9.84,Jaipur,true
PVC Pipe,Plastic,pipe,Adarsh Nagar,kg,114.6,dirty,172,2026-08-24,10.0,8.37,Jaipur,true
PVC Pipe,Plastic,pipe,Vaishali Nagar,kg,67.1,clean,52,2026-04-26,10.0,10.11,Jaipur,true
PVC Pipe,Plastic,pipe,Patrakar Colony,kg,16.7,clean,105,2026-06-18,10.0,8.72,Jaipur,true
PVC Pipe,Plastic,pipe,Mansarovar,kg,98.0,dirty,98,2026-06-11,10.0,8.17,Jaipur,true
PVC Pipe,Plastic,pipe,MI Road,kg,46.7,dirty,112,2026-06-25,10.0,7.2,Jaipur,true
PVC Pipe,Plastic,pipe,Patrakar Colony,kg,27.6,dirty,4,2026-03-09,10.0,7.85,Jaipur,true
PVC Pipe,Plastic,pipe,Durgapura,kg,31.2,mixed,136,2026-07-19,10.0,9.01,Jaipur,true
PVC Pipe,Plastic,pipe,Model Town,kg,18.2,clean,102,2026-06-15,10.0,9.4,Jaipur,true
PVC Pipe,Plastic,pipe,Mahesh Nagar,kg,75.1,mixed,103,2026-06-16,10.0,9.86,Jaipur,true
PVC Pipe,Plastic,pipe,Mahesh Nagar,kg,32.8,mixed,114,2026-06-27,10.0,9.71,Jaipur,true
PVC Pipe,Plastic,pipe,Chandpole,kg,7.5,mixed,38,2026-04-12,10.0,9.74,Jaipur,true
PVC Pipe,Plastic,pipe,Adarsh Nagar,kg,14.7,damaged,57,2026-05-01,10.0,6.06,Jaipur,true
PVC Pipe,Plastic,pipe,Nirman Nagar,kg,58.8,clean,179,2026-08-31,10.0,11.01,Jaipur,true
PVC Pipe,Plastic,pipe,Chandpole,kg,31.1,clean,101,2026-06-14,10.0,9.44,Jaipur,true
